duration,x^0     ,x^1     ,x^2     ,x^3     ,x^4     ,x^5     ,x^6     ,x^7     ,y^0     ,y^1     ,y^2     ,y^3     ,y^4     ,y^5     ,y^6     ,y^7     ,z^0     ,z^1     ,z^2     ,z^3     ,z^4     ,z^5     ,z^6     ,z^7     ,yaw^0   ,yaw^1   ,yaw^2   ,yaw^3   ,yaw^4   ,yaw^5   ,yaw^6   ,yaw^7   
0.800000,-0.700000,0.000000,0.000000,0.000000,0.630927,-1.375186,1.172788,-0.368682,0.000000,0.000000,0.000000,0.000000,-5.125387,11.854605,-10.256227,3.224183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.662072,0.105019,0.050414,-0.058297,0.128561,-0.160716,0.118476,-0.037244,-0.227290,-0.466722,0.186338,0.666353,-1.418634,1.509585,-1.036089,0.325709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.552398,0.172486,0.052935,0.003772,-0.009363,-0.008476,0.011968,-0.003762,-0.429949,-0.142274,-0.057337,-0.152130,0.203930,0.028521,-0.104666,0.032903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.382864,0.244517,0.030280,-0.011820,0.007740,-0.004044,0.001209,-0.000380,-0.586017,-0.195449,0.090014,0.082897,-0.128070,0.055773,-0.010573,0.003324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.171840,0.279521,0.015744,-0.005999,-0.003282,0.001050,0.000122,-0.000038,-0.678580,-0.055017,0.040646,-0.030599,0.049959,-0.017137,-0.001068,0.000336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.057806,0.288792,-0.005395,-0.009081,0.001439,-0.000432,0.000012,-0.000004,-0.697609,0.017002,0.067057,0.013469,-0.023141,0.008097,-0.000108,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.281187,0.264803,-0.023828,-0.007172,-0.000238,0.000266,0.000001,-0.000000,-0.641041,0.119195,0.051551,-0.009378,0.008788,-0.003388,-0.000011,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.474097,0.212966,-0.040589,-0.006225,0.000831,-0.000044,0.000000,-0.000000,-0.515007,0.194717,0.045403,-0.002999,-0.004809,0.001579,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.615632,0.137682,-0.052565,-0.003847,0.000656,0.000055,0.000000,-0.000000,-0.333163,0.254989,0.027822,-0.008285,0.001504,-0.000684,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.690453,0.047647,-0.059000,-0.001399,0.000874,-0.000000,0.000000,0.000000,-0.115216,0.285276,0.010210,-0.007851,-0.001233,0.000616,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.690453,-0.047647,-0.059000,0.001399,0.000874,-0.000055,-0.000000,0.000000,0.115216,0.285276,-0.010210,-0.007851,0.001233,-0.000684,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.615632,-0.137682,-0.052565,0.003847,0.000656,0.000044,-0.000000,0.000000,0.333163,0.254989,-0.027822,-0.008285,-0.001504,0.001579,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.474097,-0.212966,-0.040589,0.006225,0.000830,-0.000266,-0.000001,0.000000,0.515007,0.194717,-0.045403,-0.002999,0.004806,-0.003394,-0.000008,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.281187,-0.264803,-0.023828,0.007172,-0.000242,0.000425,-0.000009,0.000004,0.641041,0.119195,-0.051551,-0.009378,-0.008820,0.008035,-0.000082,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,0.057806,-0.288792,-0.005395,0.009081,0.001403,-0.001120,-0.000093,0.000038,0.697609,0.017002,-0.067057,0.013469,0.022826,-0.017751,-0.000812,0.000336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.171840,-0.279521,0.015744,0.005999,-0.003639,0.003349,-0.000919,0.000380,0.678580,-0.055017,-0.040646,-0.030599,-0.053082,0.049694,-0.008040,0.003324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.382864,-0.244517,0.030280,0.011820,0.004205,0.001595,-0.009101,0.003762,0.586017,-0.195449,-0.090014,0.082897,0.097156,-0.031657,-0.079592,0.032903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.552398,-0.172486,0.052935,-0.003772,-0.044355,0.092597,-0.090093,0.037244,0.429949,-0.142274,0.057337,-0.152130,-0.509945,0.913879,-0.787879,0.325709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800000,-0.662072,-0.105019,0.050414,0.058297,-0.217829,0.700885,-0.891829,0.368682,0.227290,-0.466722,-0.186338,0.666353,-1.610606,5.957729,-7.799195,3.224183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
